,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,O2,X3,X2,F7,F8,X1,A2,T6,T4,TRG
2021-06-21 10:18:59.020779,-191.39999389648438,-2368.760009765625,-2889.1416015625,-2063.02197265625,-2326.677734375,-1283.2052001953125,551.814697265625,1143.2716064453125,1485.8895263671875,4247.0,-7358.2568359375,-7596.08154296875,-4798.5322265625,-7848.3984375,-2260.345703125,-241.3619384765625,-3.9000000953674316,-10.199999809265137,-6046.7724609375,-5835.68212890625,-11.100000381469727,7722.6142578125,-5728.1064453125,-5109.51416015625,0.0
2021-06-21 10:18:59.021809,-1197.300048828125,-2473.62548828125,-3037.587158203125,-3436.7705078125,-2911.262451171875,-2474.85986328125,-530.2219848632812,-708.5401611328125,594.3557739257812,-9816.30078125,8073.314453125,7518.0390625,1863.4669189453125,-4296.14453125,-1647.7259521484375,-578.1879272460938,-3.9000000953674316,-10.5,8832.8251953125,6662.41845703125,-11.100000381469727,-5193.91748046875,-4236.1318359375,-3491.08203125,0.0
2021-06-21 10:18:59.022810,-845.7000122070312,-1926.8271484375,-2557.462890625,-3156.32177734375,-2564.996826171875,-2323.1728515625,-445.3504638671875,-765.5836181640625,0.0,-9606.30078125,9819.900390625,9434.103515625,3483.742919921875,-1732.1572265625,-330.2637939453125,5.40362548828125,-4.199999809265137,-10.199999809265137,9806.7001953125,6455.13525390625,-11.399999618530273,-9810.6005859375,-3413.30322265625,-2458.938720703125,0.0
2021-06-21 10:18:59.022810,-823.5,-2549.427978515625,-2951.518798828125,-2561.53076171875,-2640.9482421875,-2102.97265625,-400.9653625488281,-270.80645751953125,668.6503295898438,4738.8935546875,-3363.7060546875,-5924.3095703125,-3107.27587890625,-4451.68310546875,-1254.2838134765625,-333.823974609375,-3.9000000953674316,-10.5,-3549.231201171875,-6723.52490234375,-10.5,-2241.875244140625,-5470.07568359375,-4456.4521484375,0.0
2021-06-21 10:18:59.023822,-99.5999984741211,-2416.698486328125,-2815.06884765625,-1553.7154541015625,-1976.5247802734375,-1107.284423828125,571.9078979492188,1321.6075439453125,1485.8895263671875,9816.0,-9820.2001953125,-9798.0,-7867.47265625,-7929.45751953125,-2036.6767578125,-89.15982055664062,-4.199999809265137,-10.5,-9807.0,-9815.400390625,-10.800000190734863,9810.2998046875,-6465.7216796875,-5573.63427734375,0.0
2021-06-21 10:18:59.023822,-271.5,-2309.43603515625,-2827.6640625,-2061.22265625,-2257.304931640625,-1398.0924072265625,459.74560546875,1062.510009765625,1560.1839599609375,4070.8525390625,-7144.27978515625,-7487.2412109375,-4743.4248046875,-7799.044921875,-2267.831298828125,-254.87100219726562,-3.9000000953674316,-10.5,-5849.841796875,-5749.4140625,-10.800000190734863,7619.6220703125,-5791.49267578125,-5068.1923828125,0.0
2021-06-21 10:18:59.024811,-1097.699951171875,-2384.33984375,-3077.47265625,-3422.373291015625,-2882.257568359375,-2570.59912109375,-589.3021240234375,-619.3721923828125,594.3557739257812,-9816.30078125,8186.296875,7619.404296875,1978.7730712890625,-4233.63037109375,-1560.29443359375,-557.173828125,-3.9000000953674316,-10.5,8918.12109375,6745.69140625,-10.800000190734863,-5637.32275390625,-4219.986328125,-3443.47216796875,0.0
2021-06-21 10:18:59.025815,-814.5,-1932.8194580078125,-2478.592041015625,-3098.4326171875,-2578.45263671875,-2393.18212890625,-555.4134521484375,-808.816650390625,0.0,-9665.017578125,9819.900390625,9338.71875,3567.302490234375,-1654.38818359375,-219.4772186279297,41.42779541015625,-3.9000000953674316,-10.199999809265137,9806.7001953125,6205.017578125,-11.100000381469727,-9810.6005859375,-3369.05224609375,-2365.21630859375,0.0
2021-06-21 10:18:59.025815,-674.4000244140625,-2509.279541015625,-2875.346435546875,-2574.428466796875,-2720.1884765625,-2173.879638671875,-472.34136962890625,-180.73779296875,594.3557739257812,4418.6533203125,-3639.719482421875,-6106.10791015625,-3063.249755859375,-4393.35595703125,-1105.171142578125,-344.3310241699219,-3.9000000953674316,-10.5,-3650.39013671875,-6867.60498046875,-10.5,-2579.893310546875,-5430.6083984375,-4372.3115234375,0.0
2021-06-21 10:18:59.026778,84.9000015258789,-2401.7177734375,-2787.478759765625,-1479.0291748046875,-2120.652587890625,-1088.4356689453125,548.815673828125,1363.0390625,1560.1839599609375,9816.0,-9820.2001953125,-9798.0,-7834.5283203125,-7828.65673828125,-1892.0552978515625,-60.940887451171875,-3.9000000953674316,-9.899999618530273,-9807.0,-9815.400390625,-11.100000381469727,9810.2998046875,-6427.74951171875,-5470.62939453125,0.0
2021-06-21 10:18:59.026778,-62.70000076293945,-2381.34375,-2865.150390625,-2072.92041015625,-2314.716796875,-1407.3670654296875,352.9814758300781,1087.428955078125,1634.4783935546875,4057.3720703125,-7531.177734375,-7857.4169921875,-4724.556640625,-7736.8291015625,-2288.491455078125,-233.55670166015625,-3.5999999046325684,-10.5,-6064.7294921875,-5943.81640625,-10.800000190734863,7619.6220703125,-5725.71435546875,-4992.13671875,0.0
2021-06-21 10:18:59.027810,-947.0999755859375,-2447.558837890625,-3046.283935546875,-3462.265869140625,-2903.787109375,-2565.213623046875,-696.3661499023438,-692.6279907226562,668.6503295898438,-9816.30078125,7864.431640625,7180.4560546875,1956.9097900390625,-4198.0361328125,-1600.716552734375,-594.3988037109375,-3.9000000953674316,-10.800000190734863,8801.998046875,6464.12158203125,-10.800000190734863,-5284.03564453125,-4265.4326171875,-3306.93115234375,0.0
2021-06-21 10:18:59.028809,-676.2000122070312,-1920.8348388671875,-2504.6826171875,-3105.631103515625,-2547.95263671875,-2410.53515625,-559.0122680664062,-689.625732421875,148.5889434814453,-9576.64453125,9819.900390625,9192.203125,3604.739501953125,-1636.44140625,-209.59625244140625,-7.505035400390625,-3.9000000953674316,-10.199999809265137,9806.7001953125,6121.44482421875,-10.800000190734863,-9810.6005859375,-3363.072265625,-2263.10986328125,0.0
2021-06-21 10:18:59.028809,-595.7999877929688,-2525.1591796875,-2992.3037109375,-2546.53369140625,-2714.80615234375,-2226.835205078125,-553.314208984375,-224.87142944335938,742.9447631835938,4755.36962890625,-4257.97705078125,-6670.04345703125,-3129.4384765625,-4466.33935546875,-1189.3089599609375,-390.2618408203125,-4.5,-10.800000190734863,-3930.222412109375,-7062.3076171875,-10.800000190734863,-2175.708984375,-5511.9345703125,-4316.91650390625,0.0
2021-06-21 10:18:59.029810,148.1999969482422,-2362.16845703125,-2857.953125,-1417.240478515625,-2031.843505859375,-1134.2110595703125,557.8126831054688,1424.2857666015625,1783.0675048828125,9816.0,-9820.2001953125,-9798.0,-7919.28564453125,-7878.9072265625,-1871.3951416015625,-81.05438232421875,-3.9000000953674316,-10.5,-9807.0,-9815.400390625,-10.800000190734863,9810.2998046875,-6335.66015625,-5418.82763671875,0.0
2021-06-21 10:18:59.029810,-4.800000190734863,-2314.829345703125,-2908.63427734375,-1958.9412841796875,-2211.85400390625,-1491.7373046875,436.35345458984375,1160.985107421875,1634.4783935546875,4030.71044921875,-7529.67919921875,-7783.8603515625,-4765.587890625,-7774.81640625,-2180.39990234375,-261.17523193359375,-4.199999809265137,-10.199999809265137,-5992.30224609375,-5966.2822265625,-10.800000190734863,7660.33935546875,-5592.66259765625,-4959.19921875,0.0
2021-06-21 10:18:59.030780,-1010.0999755859375,-2433.7763671875,-3107.761474609375,-3475.763427734375,-2919.037109375,-2700.445556640625,-710.7613525390625,-643.0902099609375,817.2391967773438,-9816.30078125,7979.8115234375,7389.763671875,1940.1380615234375,-4232.13525390625,-1509.69189453125,-530.1557006835938,-3.5999999046325684,-10.199999809265137,8869.935546875,6641.75,-10.800000190734863,-5545.1083984375,-4100.08984375,-3340.467529296875,0.0
2021-06-21 10:18:59.051689,-896.4000244140625,-1941.8079833984375,-2596.44873046875,-3224.409423828125,-2585.330322265625,-2485.63037109375,-612.994140625,-764.3826904296875,148.5889434814453,-9577.841796875,9819.900390625,9271.4404296875,3507.70263671875,-1718.996337890625,-237.1431884765625,-74.14974975585938,-4.199999809265137,-10.800000190734863,9806.7001953125,6301.17041015625,-11.100000381469727,-9810.6005859375,-3344.23583984375,-2391.56640625,0.0
2021-06-21 10:18:59.052544,-792.9000244140625,-2432.2783203125,-2980.30810546875,-2559.43115234375,-2614.933349609375,-2214.86767578125,-530.2219848632812,-205.95701599121094,742.9447631835938,4695.15576171875,-3495.569091796875,-6276.54443359375,-3041.386474609375,-4426.8564453125,-1029.4169921875,-396.265869140625,-3.5999999046325684,-10.800000190734863,-3605.497314453125,-6720.529296875,-10.800000190734863,-2483.188232421875,-5372.90283203125,-4323.20458984375,0.0
2021-06-21 10:18:59.053574,-24.299999237060547,-2377.44873046875,-2894.23974609375,-1578.3109130859375,-1973.8336181640625,-1198.2366943359375,442.6513366699219,1320.4066162109375,1708.77294921875,9816.0,-9820.2001953125,-9798.0,-7784.51220703125,-7854.38037109375,-1873.79052734375,-190.32769775390625,-3.9000000953674316,-10.800000190734863,-9807.0,-9815.400390625,-10.800000190734863,9810.2998046875,-6349.712890625,-5363.73193359375,0.0
2021-06-21 10:18:59.053574,-270.8999938964844,-2414.001953125,-2991.104248046875,-2151.2060546875,-2210.65771484375,-1516.569580078125,274.10797119140625,929.5086059570312,1857.3619384765625,3826.703369140625,-6784.35302734375,-7258.19873046875,-4568.818359375,-7697.94482421875,-2184.29248046875,-336.82598876953125,-4.199999809265137,-10.199999809265137,-5575.09765625,-5549.3193359375,-10.5,7363.03955078125,-5598.94140625,-4929.85498046875,0.0
2021-06-21 10:18:59.054544,-1144.800048828125,-2417.89697265625,-3101.4638671875,-3586.742919921875,-2834.71337890625,-2576.582763671875,-767.1423950195312,-825.3292236328125,668.6503295898438,-9816.30078125,8452.12109375,7806.2861328125,2152.481201171875,-4128.04345703125,-1467.7725830078125,-580.8897705078125,-3.5999999046325684,-10.5,9060.8798828125,7178.8291015625,-10.800000190734863,-5960.96923828125,-4043.879150390625,-3277.5869140625,0.0
2021-06-21 10:18:59.055575,-842.4000244140625,-2003.2291259765625,-2599.14794921875,-3305.39453125,-2565.594970703125,-2383.907470703125,-701.16455078125,-900.0862426757812,148.5889434814453,-9669.810546875,9819.900390625,9413.171875,3635.58740234375,-1628.3653564453125,-228.16049194335938,-42.0281982421875,-3.9000000953674316,-10.800000190734863,9806.7001953125,6734.90771484375,-10.800000190734863,-9810.6005859375,-3186.965576171875,-2318.5048828125,0.0
2021-06-21 10:18:59.055575,-786.5999755859375,-2598.864501953125,-3048.083251953125,-2708.50390625,-2611.64404296875,-2163.408203125,-616.2930297851562,-396.3021240234375,594.3557739257812,4363.5322265625,-3055.02685546875,-5859.125,-3024.015869140625,-4367.3330078125,-1050.0771484375,-495.9327392578125,-3.5999999046325684,-10.5,-3391.5078125,-6576.150390625,-10.5,-2621.50927734375,-5304.13427734375,-4271.103515625,0.0
2021-06-21 10:18:59.056575,-122.69999694824219,-2542.2373046875,-3053.181640625,-1640.099609375,-1981.30908203125,-1182.0806884765625,358.379638671875,1092.232666015625,1708.77294921875,9816.0,-9820.2001953125,-9798.0,-7948.3369140625,-7787.67822265625,-1994.15869140625,-262.6762390136719,-3.9000000953674316,-10.5,-9807.0,-9815.400390625,-11.100000381469727,9810.2998046875,-6347.61962890625,-5383.49462890625,0.0
2021-06-21 10:18:59.056575,-288.6000061035156,-2472.12744140625,-3084.669921875,-2134.109130859375,-2189.72607421875,-1370.5673828125,320.59234619140625,880.87158203125,1634.4783935546875,3909.384521484375,-7130.49365234375,-7367.337890625,-4744.623046875,-7582.78662109375,-2193.8740234375,-337.4263916015625,-3.9000000953674316,-10.5,-5883.66162109375,-5666.73974609375,-10.800000190734863,7554.65283203125,-5614.18994140625,-4896.318359375,0.0
2021-06-21 10:18:59.057575,-1157.4000244140625,-2564.408935546875,-3210.923828125,-3508.75732421875,-2762.9482421875,-2519.13916015625,-628.2890014648438,-725.6531982421875,668.6503295898438,-9816.30078125,8148.8359375,7643.6240234375,1935.945068359375,-4130.1376953125,-1530.950927734375,-589.895751953125,-3.9000000953674316,-10.800000190734863,8875.9208984375,6819.9775390625,-10.800000190734863,-5589.11962890625,-4069.293701171875,-3250.038818359375,0.0
2021-06-21 10:18:59.058575,-826.2000122070312,-1999.3341064453125,-2682.817138671875,-3160.521240234375,-2528.516357421875,-2348.90283203125,-562.3111572265625,-798.6088256835938,0.0,-9638.056640625,9819.900390625,9175.1591796875,3464.87451171875,-1590.976318359375,-242.8322296142578,-128.78640747070312,-3.299999952316284,-10.5,9806.7001953125,6252.34521484375,-10.5,-9810.6005859375,-3253.04296875,-2260.115478515625,0.0
2021-06-21 10:18:59.058575,-791.0999755859375,-2619.238525390625,-3112.5595703125,-2633.517578125,-2708.82568359375,-2149.34619140625,-532.0213623046875,-333.8545227050781,668.6503295898438,4545.97021484375,-3914.833740234375,-6424.55517578125,-3199.22119140625,-4393.05712890625,-1149.186279296875,-538.5613403320312,-3.5999999046325684,-10.199999809265137,-3931.1201171875,-6930.80810546875,-10.800000190734863,-2439.4765625,-5362.13916015625,-4357.63916015625,0.0
2021-06-21 10:18:59.059576,0.8999999761581421,-2468.232177734375,-2880.144775390625,-1521.621337890625,-2095.53466796875,-1052.533447265625,532.9210205078125,1263.0628662109375,1560.1839599609375,9816.0,-9820.2001953125,-9798.0,-7976.18994140625,-7760.75830078125,-1861.2147216796875,-188.5264892578125,-3.9000000953674316,-10.5,-9807.0,-9815.400390625,-11.100000381469727,9810.2998046875,-6245.9619140625,-5370.61865234375,0.0
2021-06-21 10:18:59.059576,-144.60000610351562,-2359.172119140625,-2888.841552734375,-2006.0325927734375,-2214.245849609375,-1298.463623046875,541.91796875,1076.620849609375,1783.0675048828125,4149.93896484375,-7533.5751953125,-7749.47412109375,-4658.66748046875,-7624.064453125,-2122.012451171875,-271.98248291015625,-3.9000000953674316,-10.199999809265137,-6137.7548828125,-5767.38623046875,-10.800000190734863,7674.11181640625,-5505.3564453125,-4849.30712890625,0.0
2021-06-21 10:18:59.060575,-1052.699951171875,-2386.1376953125,-2970.411865234375,-3407.3759765625,-2820.061279296875,-2350.39892578125,-511.628173828125,-668.3094482421875,817.2391967773438,-9816.30078125,7921.9716796875,7344.912109375,2020.1036376953125,-4081.083251953125,-1475.5576171875,-556.2732543945312,-3.299999952316284,-10.800000190734863,8796.0126953125,6680.09130859375,-10.5,-5474.15234375,-3979.595703125,-3211.412109375,0.0
2021-06-21 10:18:59.061575,-814.5,-1965.1778564453125,-2454.900634765625,-3158.12158203125,-2551.241943359375,-2290.262451171875,-532.9210205078125,-757.4774780273438,0.0,-9517.62890625,9819.900390625,9173.962890625,3478.6513671875,-1587.0880126953125,-238.0414581298828,-95.76425170898438,-4.199999809265137,-10.800000190734863,9806.7001953125,6142.4130859375,-11.100000381469727,-9810.6005859375,-3195.038330078125,-2286.465576171875,0.0
2021-06-21 10:18:59.061575,-696.5999755859375,-2554.8212890625,-2875.046875,-2614.021240234375,-2669.952880859375,-2137.07958984375,-465.143798828125,-260.5986633300781,668.6503295898438,4982.443359375,-4046.097412109375,-6514.5576171875,-3239.95263671875,-4380.1953125,-1131.81982421875,-442.1966857910156,-4.199999809265137,-10.800000190734863,-3978.108154296875,-6882.88134765625,-11.100000381469727,-2009.5443115234375,-5173.474609375,-4209.42041015625,0.0
2021-06-21 10:18:59.113285,70.5,-2478.11962890625,-2781.781005859375,-1603.2064208984375,-2105.103515625,-1201.826904296875,460.6452941894531,1225.234130859375,1634.4783935546875,9816.0,-9820.2001953125,-9798.0,-8036.38818359375,-7804.7275390625,-1929.7825927734375,-116.4781494140625,-4.199999809265137,-10.5,-9807.0,-9815.400390625,-10.5,9810.2998046875,-6190.349609375,-5356.84521484375,0.0
2021-06-21 10:18:59.114273,-195.3000030517578,-2365.464111328125,-2840.859130859375,-2145.207275390625,-2379.604248046875,-1510.5859375,412.9613342285156,885.375,1708.77294921875,4104.10498046875,-7321.9951171875,-7569.17041015625,-4840.162109375,-7626.75634765625,-2229.8046875,-305.60504150390625,-3.9000000953674316,-10.5,-5978.83447265625,-5800.9345703125,-10.800000190734863,7622.61572265625,-5503.86181640625,-4883.7421875,0.0
2021-06-21 10:18:59.115273,-1072.5,-2457.4462890625,-3045.08447265625,-3594.841552734375,-2947.14501953125,-2662.748046875,-683.4705200195312,-900.9868774414062,668.6503295898438,-9816.30078125,8109.87646484375,7510.26513671875,1867.0609130859375,-4133.42822265625,-1583.050537109375,-684.7593994140625,-3.9000000953674316,-10.5,8878.9140625,6813.3876953125,-10.800000190734863,-5410.9794921875,-4013.97998046875,-3289.863525390625,0.0
2021-06-21 10:18:59.115273,-843.5999755859375,-1921.733642578125,-2471.394775390625,-3255.90380859375,-2582.63916015625,-2377.624755859375,-548.5158081054688,-987.7530517578125,0.0,-9504.748046875,9819.900390625,9279.8134765625,3456.189208984375,-1623.878662109375,-207.79971313476562,-64.843505859375,-3.9000000953674316,-11.100000381469727,9806.7001953125,6293.38232421875,-11.399999618530273,-9810.6005859375,-3191.74951171875,-2285.86669921875,0.0
2021-06-21 10:18:59.116274,-733.5,-2526.05810546875,-2946.420654296875,-2716.002685546875,-2710.9189453125,-2216.662841796875,-518.52587890625,-391.49847412109375,742.9447631835938,4776.9384765625,-3773.380615234375,-6324.08740234375,-3206.4091796875,-4452.87939453125,-1082.4149169921875,-506.13958740234375,-3.299999952316284,-10.5,-3784.769287109375,-6944.28759765625,-10.800000190734863,-2166.72705078125,-5314.0009765625,-4221.09814453125,0.0
2021-06-21 10:18:59.116274,92.0999984741211,-2404.414306640625,-2818.067626953125,-1653.59716796875,-2076.3974609375,-1049.5416259765625,522.1246337890625,1140.5694580078125,1634.4783935546875,9816.0,-9820.2001953125,-9798.0,-7918.38720703125,-7823.27294921875,-1867.2032470703125,-196.63192749023438,-3.9000000953674316,-10.5,-9807.0,-9815.400390625,-10.800000190734863,9810.2998046875,-6210.3818359375,-5292.16796875,0.0
2021-06-21 10:18:59.117304,-124.19999694824219,-2321.12109375,-2855.254150390625,-2189.89892578125,-2305.148193359375,-1442.9700927734375,410.2622375488281,878.1694946289062,1634.4783935546875,3962.408447265625,-7277.34130859375,-7460.92822265625,-4739.23193359375,-7624.064453125,-2212.138671875,-362.9435119628906,-3.5999999046325684,-10.199999809265137,-5908.501953125,-5690.40380859375,-10.800000190734863,7519.32421875,-5482.93212890625,-4802.59619140625,0.0
2021-06-21 10:18:59.118305,-958.2000122070312,-2402.916015625,-3002.500244140625,-3536.352294921875,-2906.47802734375,-2541.87744140625,-557.212890625,-843.042724609375,668.6503295898438,-9816.30078125,8125.76025390625,7612.826171875,2028.1900634765625,-4039.805908203125,-1546.5208740234375,-611.51025390625,-3.5999999046325684,-10.199999809265137,8901.9599609375,6848.134765625,-10.800000190734863,-5620.25732421875,-3931.7568359375,-3175.480224609375,0.0
2021-06-21 10:18:59.118305,-705.9000244140625,-1978.6605224609375,-2552.364990234375,-3273.300537109375,-2588.320556640625,-2459.0029296875,-533.8207397460938,-946.0211791992188,148.5889434814453,-9592.521484375,9819.900390625,9241.2412109375,3428.03662109375,-1530.85498046875,-244.329345703125,-119.78036499023438,-3.9000000953674316,-10.199999809265137,9806.7001953125,6271.8154296875,-10.800000190734863,-9810.6005859375,-3192.646240234375,-2263.4091796875,0.0
2021-06-21 10:18:59.119304,-657.0,-2534.447265625,-2962.91455078125,-2707.30419921875,-2671.14892578125,-2187.343017578125,-424.35748291015625,-385.79412841796875,742.9447631835938,4551.3623046875,-3822.529541015625,-6208.3701171875,-3187.84033203125,-4327.85107421875,-1203.3818359375,-503.4377746582031,-3.9000000953674316,-11.100000381469727,-3837.44384765625,-6847.53564453125,-10.800000190734863,-2364.328369140625,-5305.92822265625,-4272.30078125,0.0
2021-06-21 10:18:59.119304,-14.100000381469727,-2554.221923828125,-2890.341064453125,-1710.5867919921875,-2129.922119140625,-1150.3670654296875,526.9230346679688,1186.8048095703125,1485.8895263671875,9816.0,-9820.2001953125,-9798.0,-8027.703125,-7807.71875,-2104.047119140625,-287.8931579589844,-3.9000000953674316,-10.5,-9807.0,-9815.400390625,-11.399999618530273,9810.2998046875,-6286.02734375,-5331.69287109375,0.0
2021-06-21 10:18:59.120304,-279.0,-2478.11962890625,-2955.117431640625,-2329.97314453125,-2390.967041015625,-1540.8037109375,352.38165283203125,845.7447509765625,1560.1839599609375,4016.63037109375,-7214.10693359375,-7296.47216796875,-4790.146484375,-7663.84619140625,-2399.278076171875,-450.3021240234375,-3.9000000953674316,-10.199999809265137,-5978.53466796875,-5674.5283203125,-11.100000381469727,7575.3115234375,-5635.41845703125,-4856.49365234375,0.0
2021-06-21 10:18:59.121304,-1117.800048828125,-2479.91748046875,-3131.153076171875,-3627.53564453125,-2994.39013671875,-2650.4814453125,-662.7774658203125,-835.8372192382812,520.0613403320312,-9816.30078125,8193.7890625,7771.89990234375,1918.2747802734375,-4082.279541015625,-1623.7720947265625,-666.747314453125,-3.5999999046325684,-10.800000190734863,8887.892578125,6929.90966796875,-11.100000381469727,-5662.4716796875,-4114.44140625,-3203.92626953125,0.0
2021-06-21 10:18:59.121304,-842.0999755859375,-2041.2802734375,-2624.638671875,-3329.09033203125,-2676.232421875,-2469.773681640625,-583.0042114257812,-877.8692626953125,-74.29447174072266,-9515.232421875,9819.900390625,9336.6259765625,3436.122802734375,-1643.6201171875,-371.2847900390625,-130.28741455078125,-3.9000000953674316,-10.800000190734863,9806.7001953125,6380.24951171875,-10.5,-9810.6005859375,-3337.359130859375,-2248.437744140625,0.0
